CalendarMonth,Segment,Cohort,MOB,OpeningGBV,Coll_Principal,Coll_Interest,InterestRevenue,WO_DebtSold,WO_Other,ClosingGBV_Reported,Provision_Balance,Coll_Principal_Rate,Coll_Interest_Rate,InterestRevenue_Rate_Annual,WO_DebtSold_Rate,WO_Other_Rate,Coverage_Ratio,GBV_Runoff_Rate,DataType
2020-09-30,NRP-S,201912,9,29219379.18,-1925226.18,-530221.9400000001,428924.330998,0.0,587.98,27120386.61,0.0,-0.06588867505158266,-0.01814624248974205,0.1785999397293035,0.0,2.0122946363024e-05,0.0,0.0718356319985305,Actual
2020-09-30,NRP-S,202001,0,17831.29,-1478.91,-21.09,2810.894997,0.0,0.0,388743.46,0.0,-0.08293903581849658,-0.001182752341529973,1.917933164874779,0.0,0.0,0.0,-20.80119666047717,Actual
2020-09-30,NRP-S,202001,1,28205.02,-852.39,-583.44,554.079575,0.0,0.0,27323.27,0.0,-0.03022121593957388,-0.02068567935778808,0.2390106972387658,0.0,0.0,0.0,0.03126216538757994,Actual
2020-09-30,NRP-S,202001,6,2166655.54,-141391.8,-37989.03,31307.240368,0.0,30.17,2009938.25,0.0,-0.06525808897153998,-0.01753348850274557,0.1758030987291439,0.0,1.392468689323823e-05,0.0,0.07233142837278142,Actual
2020-09-30,NRP-S,202001,7,2992396.96,-171165.65,-50193.81,43120.714028,0.0,2.15,2808232.1,0.0,-0.05720018175663432,-0.01677378057488736,0.1753227800389603,0.0,7.184875632275739e-07,0.0,0.06154426115978955,Actual
2020-09-30,NRP-S,202001,8,4122462.11,-263459.66,-73821.73,59757.922535,0.0,5.4,3834245.51,0.0,-0.0639083278317869,-0.01790719430044682,0.1763641980873981,0.0,1.309896817947952e-06,0.0,0.06991370504069959,Actual
2020-10-31,NON PRIME,201912,10,80822679.77000001,-3348305.0,-1550799.8,1960598.440677,13561048.551828,40196.34,63416378.55,0.0,-0.04142778994124411,-0.01918768103721834,0.2856186602187557,0.1677876629483105,0.0004973398570102867,0.0,0.215364069460871,Actual
2020-10-31,NON PRIME,202001,0,290598.67,-249312.1,-4517.679999999999,169566.401386,0.0,0.0,7549065.459999999,0.0,-0.8579258122550939,-0.01554611382082375,6.870326107212597,0.0,0.0,0.0,-24.97763251979095,Actual
2020-10-31,NON PRIME,202001,1,9539842.1,-467816.26,-385681.78,385892.29631,0.0,63.99,9074425.64,0.0,-0.04903815546381004,-0.0404285286860251,0.4762731435130864,0.0,6.707658190694792e-06,0.0,0.04878659993753975,Actual
2020-10-31,NON PRIME,202001,2,6800842.12,-298483.15,-226262.06,276565.623676,0.0,1.33,6552168.29,0.0,-0.04388914559892768,-0.03326971219264239,0.4788138181322187,0.0,1.955640164162493e-07,0.0,0.0365651526108358,Actual
2020-10-31,NON PRIME,202001,3,5815407.54,-301095.86,-192518.48,241084.49399,0.0,0.0,5566785.560000001,0.0,-0.05177553901923097,-0.03310489912801536,0.4881129094098237,0.0,0.0,0.0,0.04275228834607171,Actual
2020-10-31,NON PRIME,202001,4,1533165.11,-61784.94,-47598.55,63788.73165,0.0,0.0,1487598.82,0.0,-0.0402989473195095,-0.03104593868562532,0.4898760529798554,0.0,0.0,0.0,0.02972040630379336,Actual
2020-10-31,NON PRIME,202001,5,138763.56,-9197.72,-4714.04,5829.590139999999,0.0,0.0,130805.48,0.0,-0.06628339601549571,-0.03397174301379988,0.4946451547951711,0.0,0.0,0.0,0.05734992673869135,Actual
2020-10-31,NON PRIME,202001,7,5620449.489999999,-254956.13,-146403.02,197222.913716,103857.83,6.47,5061619.17,0.0,-0.04536223133997065,-0.02604827607836042,0.4131592610876808,0.01847856300190681,1.151153481854349e-06,0.0,0.09942804770228429,Actual
2020-10-31,NON PRIME,202001,8,4417058.86,-260655.66,-131713.35,157079.609383,120455.36,11.33,3957140.88,0.0,-0.05901113574927547,-0.0298192426622995,0.4187143033408623,0.02727049011975358,2.565055245833876e-06,0.0,0.1041231268536911,Actual
2020-10-31,NON PRIME,202001,9,6757530.709999999,-355121.43,-178756.01,229404.124024,451192.85,457.04,5880016.99,0.0,-0.05255195207244572,-0.02645285943509978,0.3997094016990082,0.0667688937517237,6.763417283826151e-05,0.0,0.1298571560616702,Actual
2020-10-31,NRP-M,202001,7,181244.79,-611.46,-481.6,2189.502714,0.0,0.0,182341.26,0.0,-0.003373669389338033,-0.002657179828451896,0.1422365229331825,0.0,0.0,0.0,-0.006049663551708168,Actual
2020-10-31,NRP-S,201912,10,27120253.09,-1331816.09,-335606.01,400055.51113,1103748.980624,10555.41,24682315.22,0.0,-0.04910780462041772,-0.01237473739224607,0.1736831512048234,0.04069832891902411,0.0003892076510116374,0.0,0.08989362532530853,Actual
2020-10-31,NRP-S,202001,0,27537.43,-4353.27,-30.73,5851.168279,0.0,0.0,518686.7,0.0,-0.1580855584562539,-0.001115935655578607,2.501787123966507,0.0,0.0,0.0,-17.83569744889047,Actual
2020-10-31,NRP-S,202001,1,388743.46,-15810.75,-6748.72,6756.113632,0.0,0.0,373013.08,0.0,-0.04067142377134782,-0.01736034350262767,0.2046279814921247,0.0,0.0,0.0,0.04046468074343926,Actual
2020-10-31,NRP-S,202001,2,27323.27,-1653.41,-519.2,569.660991,0.0,0.0,25720.32,0.0,-0.06051288883065607,-0.01900211797489832,0.245479357521995,0.0,0.0,0.0,0.05866611134026054,Actual
