calendarmonth,openinggbv,principalcollections,interestcollections,interestrevenue,total_coll,coll_rate,rev_rate
202111,195899520.73,-11382997.17,-4448831.57,4338184.634519,-15831828.74,-0.08081606673157889,0.022144947666809946
202112,203257348.87,-9965094.06,-4016324.73,4588463.786652,-13981418.790000001,-0.06878678122945647,0.022574651357805047
202201,202487431.67,-11489717.08,-4255169.72,4467793.952916,-15744886.8,-0.07775735348186907,0.022064549468913713
202202,207546049.3,-11384814.28,-4252933.63,4347908.3475130005,-15637747.91,-0.07534591943687746,0.020949126047821138
202203,212394425.23,-11742099.13,-4032494.73,4770547.048189,-15774593.860000001,-0.07427028201384211,0.022460792193688784
202204,217934840.28,-10897413.11,-3820490.0100000002,4469502.1989589995,-14717903.12,-0.06753350267947346,0.020508433590593584
202205,221386417.55,-12900731.43,-4670021.86,4727798.376705,-17570753.29,-0.07936689831494136,0.02135541298795907
202206,233384585.06,-12067074.78,-4368303.59,4690689.500146,-16435378.37,-0.07042186769008196,0.020098540351069404
202207,236624535.55,-11349361.91,-3863462.87,4784606.78734,-15212824.780000001,-0.06429098632836176,0.020220247981549606
202208,235489741.95,-12720990.73,-4697305.96,4852096.849946,-17418296.69,-0.07396626513650142,0.020604281145189814
202209,242398875.28,-11904228.69,-4419679.37,4771161.642601,-16323908.059999999,-0.06734316750085541,0.019683101405028103
202210,228914574.98,-11535951.25,-4459294.46,4795159.626124,-15995245.71,-0.06987430010254912,0.020947375790916538
202211,226510957.3,-10947798.51,-4249735.86,4653217.055678,-15197534.370000001,-0.06709403620537345,0.02054301085980179
202212,223260401.45,-9995000.57,-3904321.88,4637732.865994,-13899322.45,-0.06225610255884452,0.020772751620410562
202301,216326647.65,-11571763.69,-4374631.2299999995,4553642.427417,-15946394.919999998,-0.07371442720177519,0.021049845115634784
202302,212927328.64,-10693546.92,-4220689.46,4204445.179816,-14914236.379999999,-0.07004378665368861,0.0197459161614925
202303,207374226.41,-11103001.97,-3805410.64,4424405.04526,-14908412.610000001,-0.07189134767656492,0.02133536612458532
202304,196317198.69,-9750695.63,-3680726.38,3997881.249095,-13431422.010000002,-0.06841694003187797,0.020364396373686866
202305,190367907.15,-11101597.97,-3775658.81,4041851.976293,-14877256.780000001,-0.0781500254046366,0.02123179288359897
202306,185460040.73,-10337802.29,-3635251.16,3844221.355931,-13973053.45,-0.07534266354628122,0.0207280303659998
